Designator,Val,Package,Mid X,Mid y,Rotation,Layer
BZ1,Buzzer,Huaneng MLT-7525,150.05,-116.8175,0,top
C1,10uF,C_0603_1608Metric,123,-116.45,180,top
C2,10uF,C_0603_1608Metric,131.705,-110.975,90,top
C6,4.7uF,C_0603_1608Metric,124.36,-89.225,-90,top
C7,100nF,C_0603_1608Metric,121.85,-89.225,-90,top
C8,10uF,C_0603_1608Metric,135.955,-109.225,0,top
D1,RED,D_1206_3216Metric,122.51,-128.3,-90,top
D2,GREEN,D_1206_3216Metric,128.04,-128.25,-90,top
D3,ORANGE,D_1206_3216Metric,125.29,-128.25,-90,top
D4,40V_TVS,D_0402_1005Metric,118.275,-74.525,0,top
D5,1N4148W,D_SOD-123,148.7,-112.9675,-90,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,115.395,-102.36,-90,top
J4,Micro_SD_Card,TF-01A,181.5,-80,90,top
J5,Conn_Coaxial_Small,U.FL_Hirose_U.FL-R-SMT-1_Vertical,121.25,-72.75,90,top
Q1,NMOS,SOT-23,162.8,-107.6,180,top
Q2,NMOS,SOT-23,148.65,-108.105,-90,top
Q3,NMOS,SOT-23,175.225,-105.23,0,top
R1,5.1k,R_0402_1005Metric,120.82,-99.86,90,top
R2,5.1k,R_0402_1005Metric,120.82,-106.36,-90,top
R3,10k,R_0402_1005Metric,126,-114.45,90,top
R4,2k,R_0402_1005Metric,128,-116.2,90,top
R5,1k,R_0402_1005Metric,122.54,-125.25,0,top
R6,1k,R_0402_1005Metric,128.25,-125.25,0,top
R7,1k,R_0402_1005Metric,125.29,-125.25,180,top
R8,100k,R_0402_1005Metric,124.25,-109.51,90,top
R9,270k,R_0402_1005Metric,125.5,-109.51,-90,top
R10,5.1k,R_0402_1005Metric,130.5,-68.01,-90,top
R11,33,R_0402_1005Metric,115.1,-88.75,90,top
R12,33,R_0402_1005Metric,113.85,-88.74,90,top
R13,33,R_0402_1005Metric,125.1,-86.01,90,top
R15,33,R_0402_1005Metric,146,-107,-90,top
SW1,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,124.25,-66.25,180,top
SW2,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,138.75,-125,0,top
SW3,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,149.25,-125,0,top
SW4,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,159.75,-125,0,top
U1,MCP73833-xxx-UN,MSOP-10_3x3mm_P0.5mm,126,-119,90,top
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,148.25,-69.29,0,top
U4,MAX-M10S,ublox_MAX,118.75,-81.25,90,top
U5,AP2112K-3.3,SOT-23-5,135,-112,0,top
